provider_code,provider_name,category,game_symbol,game_name,localized_title,game_image,launch_enable,under_maintenance
1,Pragmatic Play,Slot,vswaysbook,Book of Golden Sands,Book of Golden Sands,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysbook.jpg,True,False
1,Pragmatic Play,Slot,vs20mparty,Wild Hop,Wild Hop,https://bo-prd-v2.meganodes.net/img/games/p1/vs20mparty.jpg,True,False
1,Pragmatic Play,Slot,vs10snakeeyes,Snakes & Ladders - Snake Eyes,Snakes & Ladders - Snake Eyes,https://bo-prd-v2.meganodes.net/img/games/p1/vs10snakeeyes.jpg,True,False
1,Pragmatic Play,Slot,vswayslofhero,Legend of Heroes,Legend of Heroes,https://bo-prd-v2.meganodes.net/img/games/p1/vswayslofhero.jpg,True,False
1,Pragmatic Play,Slot,vs5strh,Striking Hot 5,Striking Hot 5,https://bo-prd-v2.meganodes.net/img/games/p1/vs5strh.jpg,True,False
1,Pragmatic Play,Slot,vs10crownfire,Crown of Fire,Crown of Fire,https://bo-prd-v2.meganodes.net/img/games/p1/vs10crownfire.jpg,True,False
1,Pragmatic Play,Slot,vs20muertos,Muertos Multiplier Megaways™,Muertos Multiplier Megaways™,https://bo-prd-v2.meganodes.net/img/games/p1/vs20muertos.jpg,True,False
1,Pragmatic Play,Slot,vs20trswild2,Black Bull,Black Bull,https://bo-prd-v2.meganodes.net/img/games/p1/vs20trswild2.jpg,True,False
1,Pragmatic Play,Slot,vswaysstrwild,Candy Stars,Candy Stars,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysstrwild.jpg,True,False
1,Pragmatic Play,Slot,vs10mmm,Magin Money Maze,Magin Money Maze,https://bo-prd-v2.meganodes.net/img/games/p1/vs10mmm.jpg,True,False
1,Pragmatic Play,Slot,vswaysfltdrg,Floating Dragon Hold,Floating Dragon Hold,https://bo-prd-v2.meganodes.net/img/games/p1/vswaysfltdrg.jpg,True,False
1,Pragmatic Play,Slot,vs20underground,Down the Rails,Down the Rails,https://bo-prd-v2.meganodes.net/img/games/p1/vs20underground.jpg,True,False
1,Pragmatic Play,Slot,vs20wolfie,Greedy Wolf,Greedy Wolf,https://bo-prd-v2.meganodes.net/img/games/p1/vs20wolfie.jpg,True,False
1,Pragmatic Play,Slot,vs5firehot,Fire Hot 5,Fire Hot 5,https://bo-prd-v2.meganodes.net/img/games/p1/vs5firehot.jpg,True,False
1,Pragmatic Play,Slot,vs20fh,Fire Hot 20,Fire Hot 20,https://bo-prd-v2.meganodes.net/img/games/p1/vs20fh.jpg,True,False
1,Pragmatic Play,Slot,vs40firehot,Fire Hot 40,Fire Hot 40,https://bo-prd-v2.meganodes.net/img/games/p1/vs40firehot.jpg,True,False
